session_id,path,viewedAt,pageviewCount,browserName,deviceType,osName,city,country,region,trafficSource,referrerUrl,utmSource,utmMedium,utmCampaign,utmContent,timeOnPageMs
wix_98.97.137.108_232026_5,/,2026-02-03T05:00:00Z,1,Facebook,tablet,iPadOS 18,Los Angeles,US,CA,direct,https://syndicatedsearch.goog/,google,wix-smart-campaign,guided-transformations-for-leaders-2026-2-1-4b82ffda,,25000
wix_120.201.232.32_282026_11,/webinars,2026-02-08T11:00:00Z,1,Chrome,desktop,Windows,,CN,,direct,,,,,,
wix_209.184.138.75_5272026_13,/about,2026-05-27T13:00:00Z,1,Safari,mobile,iOS,Fresno,US,CA,direct,,chatgpt.com,,,,31000
wix_98.43.35.128_342026_10,/items/2026-ai-report,2026-03-04T10:00:00Z,1,Chrome,desktop,Windows,Englewood,US,CO,direct,,,,,,537000
wix_130.41.187.83_3212026_23,/post/news-from-microsoft-ignite-2024,2026-03-21T23:00:00Z,1,Edge,desktop,Windows,London,GB,ENG,organic,https://linkedin.com/,,,,,
wix_170.85.67.86_2102026_12,/post/copilot-for-every-leader-how-ai-is-empowering-the-c-suite,2026-02-10T12:00:00Z,1,Edge,desktop,Windows,Nuevo Laredo,MX,TAM,direct,,,,,,
wix_185.247.201.115_5182026_7,/about,2026-05-18T07:00:00Z,1,Edge,desktop,Windows,Epsom,GB,SRY,direct,,,,,,5000
wix_185.142.249.138_3162026_2,/post/claude-comes-inside-the-microsoft-365-boundary,2026-03-16T02:00:00Z,1,Chrome,desktop,Mac OS,'s-Hertogenbosch,NL,NB,direct,,,,,,
wix_107.77.205.181_3232026_20,/case-studies/energy-company-reinvents-employee-expereince-and-effectiveness,2026-03-23T20:00:00Z,1,LinkedIn App,mobile,iOS,,US,WA,organic,https://linkedin.com/,,,,,
wix_136.185.120.148_422026_3,/,2026-04-02T03:00:00Z,1,Chrome,desktop,Windows,Ahmedabad,IN,GJ,direct,,,,,,
wix_81.56.5.75_4282026_4,/post/11-copilot-tips-to-supercharge-your-productivity,2026-04-28T04:00:00Z,1,Edge,desktop,Windows,Milan,IT,MI,direct,,,,,,12000
wix_178.238.62.20_642026_4,/post/11-copilot-tips-to-supercharge-your-productivity,2026-06-04T04:00:00Z,1,Edge,desktop,Windows,Volta Mantovana,IT,MN,organic,https://bing.com/,,,,,
wix_112.16.225.52_2262026_12,/insights/tags/productivitytools-1,2026-02-26T12:00:00Z,1,Chrome,desktop,Windows,Ningbo,CN,ZJ,direct,,,,,,
wix_117.135.155.154_572026_16,/,2026-05-07T16:00:00Z,1,Chrome,desktop,Windows,,CN,,direct,,,,,,
wix_192.198.241.130_322026_7,/post/introducing-microsoft-copilot-notebooks-a-quick-take,2026-03-02T07:00:00Z,1,Edge,desktop,Windows,Prosper,US,TX,organic,https://bing.com/,,,,,
wix_146.75.136.0_4222026_20,/team/michelle-boyd,2026-04-22T20:00:00Z,1,Safari,mobile,iOS,Seattle,US,WA,organic,https://google.com/,,,,,
wix_73.140.139.238_532026_12,/items/2026-ai-report,2026-05-03T12:00:00Z,1,Chrome,desktop,Mac OS,Redmond,US,WA,direct,https://chatgpt.com/,chatgpt.com,,,,8000
wix_194.50.126.7_312026_1,/post/claude-comes-inside-the-microsoft-365-boundary,2026-03-01T01:00:00Z,1,Firefox,desktop,Mac OS,Bucharest,RO,B,direct,https://claude.ai/,,,,,
wix_38.42.195.219_452026_15,/team,2026-04-05T15:00:00Z,1,Chrome,mobile,iOS,Boston,US,MA,organic,https://google.com/,,,,,
wix_95.89.143.17_3122026_15,/models/knowledge-management-maturity-model,2026-03-12T15:00:00Z,1,Safari,mobile,iOS,Mainz,DE,RP,direct,,chatgpt.com,,,,
wix_140.248.44.0_2202026_17,/post/claude-comes-inside-the-microsoft-365-boundary,2026-02-20T17:00:00Z,1,Safari,mobile,iOS,Miami,US,FL,direct,,,,,,
wix_73.140.139.238_532026_12,/team,2026-05-03T12:00:00Z,1,Chrome,desktop,Mac OS,Redmond,US,WA,direct,,,,,,2000
wix_194.120.133.31_382026_7,/partners,2026-03-08T07:00:00Z,1,Safari,desktop,Mac OS,Southall,GB,EAL,direct,,,,,,302000
wix_153.92.40.42_1252026_7,/post/11-copilot-tips-to-supercharge-your-productivity,2026-01-25T07:00:00Z,1,Chrome,desktop,Mac OS,Toronto,CA,ON,organic,https://duckduckgo.com/,,,,,1538000
